scenario,run_id,window_start_s,window_end_s,label,is_anomalous,offset_mean,offset_std,offset_abs_max,path_delay_mean,pdv_std,seq_regressions,msg_irregularity,synce_ql_max,gnss_loss_rate,holdover_rate
gnss_loss_holdover,3,0.0,0.4,healthy,0,7.429040575905709,12.216595959645607,46.39749998859172,49997.38659614509,7.0914984081965375,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,0.2,0.6,healthy,0,-2.3759641898730135,4.058895113164633,7.9222309193019615,50000.09851558326,8.490014075938385,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,0.4,0.8,healthy,0,-3.16426256640059,3.355671509222537,7.9222309193019615,49999.846306569365,9.543016779948477,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,0.6,1.0,healthy,0,1.414934133343672,2.6885900411680828,7.380613058833576,49998.80487104964,8.718141533405708,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,0.8,1.2,healthy,0,0.9847494653900449,3.067670647580531,7.380613058833576,50000.69815246122,8.758592867708462,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,1.0,1.4,healthy,0,-0.3366850897807403,2.2732280681873167,4.373888061939678,50001.4252778416,7.567335147409932,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,1.2,1.6,healthy,0,-0.21644252384890436,2.0056236617581127,3.83698338597886,50001.97805302289,6.059528952100945,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,1.4,1.8,healthy,0,3.2305743123639843,4.281886873855302,10.658724951000934,49999.369739950904,7.149730034269336,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,1.6,2.0,healthy,0,4.334509242958541,3.3584972923574883,10.658724951000934,49997.18570455618,6.471416723032643,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,1.8,2.2,healthy,0,3.893766992223538,2.699709284512053,9.902416524905831,49998.137067388336,6.428937186692223,0,0.0,1,0.5,0.5
gnss_loss_holdover,3,2.0,2.4,H0,1,14.428554942063347,10.119168899835953,31.257191016981732,49998.17425587842,10.458439001159922,0,0.0,1,1.0,1.0
gnss_loss_holdover,3,2.2,2.6,H0,1,30.82774072377871,9.943523039415378,48.774460333810154,49999.272890286986,10.964345440099866,0,0.0,1,1.0,1.0
gnss_loss_holdover,3,2.4,2.8,H0,1,45.64358582247842,9.084460683585247,64.16094078679461,50000.21096714974,7.221935883970988,0,0.0,1,1.0,1.0
gnss_loss_holdover,3,2.6,3.0,H0,1,61.2872693197116,10.043645362189752,77.20049665467378,49999.21591695349,8.405083479124723,0,0.0,1,1.0,1.0
gnss_loss_holdover,3,2.8,3.2,H0,1,80.24598703168222,9.905845454296532,93.46653607931864,49998.75412132199,9.227967831712608,0,0.0,1,1.0,1.0
gnss_loss_holdover,3,3.0,3.4,H0,1,97.57744604092976,8.568587498181454,113.48299428974015,49998.1712573308,7.123677934292867,0,0.0,1,1.0,1.0
gnss_loss_holdover,3,3.2,3.6,H0,1,112.63000039034463,8.663225110699102,125.33412656335726,49996.60385696091,7.484185613239253,0,0.0,1,1.0,1.0
gnss_loss_holdover,3,3.4,3.8,H0,1,128.31717666971298,8.843969132326238,144.74157847058368,49999.62827941445,7.753167245074198,0,0.0,1,1.0,1.0
gnss_loss_holdover,3,3.6,4.0,H0,1,146.17348030821003,10.764959401267069,162.1199787478617,50001.079411014885,7.590190431789799,0,0.0,1,1.0,1.0
gnss_loss_holdover,3,3.8,4.2,H0,1,165.92554997406745,11.486220082433572,183.78761196003796,49999.24688307803,8.102460606750228,0,0.0,1,1.0,1.0
gnss_loss_holdover,3,4.0,4.4,H0,1,184.1397921339274,9.713290432872794,197.44144196754024,50000.10263294391,6.441439280784274,0,0.0,1,1.0,1.0
gnss_loss_holdover,3,4.2,4.6,H0,1,202.76755609673936,11.896383022367742,222.18291519698155,49999.965737155246,5.924036516680588,0,0.0,1,1.0,1.0
gnss_loss_holdover,3,4.4,4.8,H0,1,218.79582713699543,8.34299030210645,230.70793293065387,49999.14911729488,7.408740965620546,0,0.0,1,1.0,1.0
gnss_loss_holdover,3,4.6,5.0,H0,1,233.25710585109454,10.201236661204804,249.79582905312617,49999.72622307309,6.797046138359742,0,0.0,1,1.0,1.0
gnss_loss_holdover,3,4.8,5.2,H0,1,154.92206957025718,95.1050678933831,249.79582905312617,50001.1800689198,5.691096139427428,0,0.0,1,0.5,0.5
gnss_loss_holdover,3,5.0,5.4,healthy,0,36.007570495775084,49.436597172297944,183.1731027958823,49999.21814261491,7.785033798648793,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,5.2,5.6,healthy,0,2.249683689262372,3.296316240677493,9.832377748415432,49996.99565833474,8.312939329500226,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,5.4,5.8,healthy,0,-0.5376294470012395,2.8571862814627638,5.570455787891939,49999.794000761074,7.451093572386211,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,5.6,6.0,healthy,0,-1.5735702617208878,2.38790884874206,5.570455787891939,50000.33280197379,7.411518101610255,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,5.8,6.2,healthy,0,0.9102486696513916,3.2900892160772113,8.23193777886059,49997.966097002514,7.9591226529668,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,6.0,6.4,healthy,0,3.3236031119721092,2.4238812265366803,8.23193777886059,49998.29533435892,5.6759223694598795,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,6.2,6.6,healthy,0,1.7204297964447175,2.8480726154953335,6.520169715209164,49999.91505492284,5.943620216416677,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,6.4,6.8,healthy,0,-0.059132567252425494,2.377478734945373,4.483682013777118,49999.4745363894,6.4231314749293285,0,0.0,1,0.0,0.0
gnss_loss_holdover,3,6.6,7.0,healthy,0,-0.8670351134282196,2.025968776353852,4.422215555765967,50000.09263995484,5.503530198181094,0,0.0,1,0.0,0.0
