domain,attack_family,setting,n,m,stream_id,detected,raw_time_to_detection_s,time_to_decision_s,added_detection_latency_s,within_2s
simulated,gnss_jam,3-of-5,3,5,gnss_jam:6,False,,,,False
simulated,gnss_jam,3-of-5,3,5,gnss_jam:7,False,,,,False
simulated,gnss_jam,3-of-5,3,5,gnss_jam:8,False,,,,False
simulated,gnss_jam,3-of-5,3,5,gnss_jam:9,False,,,,False
simulated,gnss_spoof,3-of-5,3,5,gnss_spoof:0,False,,,,False
simulated,gnss_spoof,3-of-5,3,5,gnss_spoof:1,False,,,,False
simulated,gnss_spoof,3-of-5,3,5,gnss_spoof:10,False,,,,False
simulated,gnss_spoof,3-of-5,3,5,gnss_spoof:11,False,,,,False
simulated,gnss_spoof,3-of-5,3,5,gnss_spoof:2,False,,,,False
simulated,gnss_spoof,3-of-5,3,5,gnss_spoof:3,False,,,,False
simulated,gnss_spoof,3-of-5,3,5,gnss_spoof:4,False,,,,False
simulated,gnss_spoof,3-of-5,3,5,gnss_spoof:5,False,,,,False
simulated,gnss_spoof,3-of-5,3,5,gnss_spoof:6,False,,,,False
simulated,gnss_spoof,3-of-5,3,5,gnss_spoof:7,False,,,,False
simulated,gnss_spoof,3-of-5,3,5,gnss_spoof:8,False,,,,False
simulated,gnss_spoof,3-of-5,3,5,gnss_spoof:9,False,,,,False
simulated,replay,3-of-5,3,5,ptp_replay:0,True,0.20000000000000018,0.6000000000000001,0.3999999999999999,True
simulated,replay,3-of-5,3,5,ptp_replay:1,True,0.0,2.4,2.4,False
simulated,replay,3-of-5,3,5,ptp_replay:10,True,0.20000000000000018,0.6000000000000001,0.3999999999999999,True
simulated,replay,3-of-5,3,5,ptp_replay:11,True,0.0,0.40000000000000013,0.40000000000000013,True
simulated,replay,3-of-5,3,5,ptp_replay:2,True,0.3999999999999999,1.0,0.6000000000000001,True
simulated,replay,3-of-5,3,5,ptp_replay:3,True,0.0,1.8000000000000003,1.8000000000000003,True
simulated,replay,3-of-5,3,5,ptp_replay:4,True,0.5999999999999996,1.1999999999999997,0.6000000000000001,True
simulated,replay,3-of-5,3,5,ptp_replay:5,True,0.19999999999999973,0.6000000000000001,0.40000000000000036,True
simulated,replay,3-of-5,3,5,ptp_replay:6,True,0.20000000000000018,0.6000000000000001,0.3999999999999999,True
simulated,replay,3-of-5,3,5,ptp_replay:7,True,0.0,1.0,1.0,True
simulated,replay,3-of-5,3,5,ptp_replay:8,True,0.6000000000000001,1.0,0.3999999999999999,True
simulated,replay,3-of-5,3,5,ptp_replay:9,True,0.19999999999999996,0.7999999999999998,0.5999999999999999,True
simulated,spoof,3-of-5,3,5,ptp_spoof:0,True,0.0,0.3999999999999999,0.3999999999999999,True
simulated,spoof,3-of-5,3,5,ptp_spoof:1,True,0.0,0.40000000000000036,0.40000000000000036,True
simulated,spoof,3-of-5,3,5,ptp_spoof:10,True,0.0,0.3999999999999999,0.3999999999999999,True
simulated,spoof,3-of-5,3,5,ptp_spoof:11,True,0.0,0.3999999999999999,0.3999999999999999,True
simulated,spoof,3-of-5,3,5,ptp_spoof:2,True,0.0,0.40000000000000013,0.40000000000000013,True
simulated,spoof,3-of-5,3,5,ptp_spoof:3,True,0.0,0.3999999999999999,0.3999999999999999,True
simulated,spoof,3-of-5,3,5,ptp_spoof:4,True,0.0,0.3999999999999999,0.3999999999999999,True
simulated,spoof,3-of-5,3,5,ptp_spoof:5,True,0.19999999999999996,0.6000000000000001,0.40000000000000013,True
simulated,spoof,3-of-5,3,5,ptp_spoof:6,True,0.0,0.3999999999999999,0.3999999999999999,True
simulated,spoof,3-of-5,3,5,ptp_spoof:7,True,0.0,0.3999999999999999,0.3999999999999999,True
simulated,spoof,3-of-5,3,5,ptp_spoof:8,True,0.19999999999999996,0.6000000000000001,0.40000000000000013,True
simulated,spoof,3-of-5,3,5,ptp_spoof:9,True,0.19999999999999996,0.6000000000000001,0.40000000000000013,True
timesafe_real,announce,3-of-5,3,5,announce_session_1,True,0.0,0.4,0.4,True
timesafe_real,announce,3-of-5,3,5,announce_session_2,True,0.0,0.39999999999999997,0.39999999999999997,True
timesafe_real,announce,3-of-5,3,5,announce_session_3,True,0.0,0.40000000000000036,0.40000000000000036,True
timesafe_real,sync_follow_up,3-of-5,3,5,sync_followup_session,True,0.0,0.40000000000000036,0.40000000000000036,True
timesafe_real,sync_single_step,3-of-5,3,5,sync_singlestep_session,True,0.0,0.40000000000000036,0.40000000000000036,True
simulated,dos,4-of-7,4,7,ptp_dos_flood:0,True,0.0,0.5999999999999999,0.5999999999999999,True
simulated,dos,4-of-7,4,7,ptp_dos_flood:1,True,0.0,0.6000000000000001,0.6000000000000001,True
simulated,dos,4-of-7,4,7,ptp_dos_flood:10,True,0.0,0.5999999999999999,0.5999999999999999,True
simulated,dos,4-of-7,4,7,ptp_dos_flood:11,True,0.3999999999999999,1.0,0.6000000000000001,True
simulated,dos,4-of-7,4,7,ptp_dos_flood:2,True,0.0,0.6000000000000001,0.6000000000000001,True
simulated,dos,4-of-7,4,7,ptp_dos_flood:3,True,0.0,0.6000000000000001,0.6000000000000001,True
simulated,dos,4-of-7,4,7,ptp_dos_flood:4,True,0.0,0.6000000000000001,0.6000000000000001,True
simulated,dos,4-of-7,4,7,ptp_dos_flood:5,True,0.0,0.5999999999999999,0.5999999999999999,True
simulated,dos,4-of-7,4,7,ptp_dos_flood:6,True,0.20000000000000018,1.0,0.7999999999999998,True
simulated,dos,4-of-7,4,7,ptp_dos_flood:7,True,0.0,0.6000000000000001,0.6000000000000001,True
simulated,dos,4-of-7,4,7,ptp_dos_flood:8,True,0.0,0.6000000000000001,0.6000000000000001,True
simulated,dos,4-of-7,4,7,ptp_dos_flood:9,True,0.0,0.6000000000000001,0.6000000000000001,True
simulated,gnss_jam,4-of-7,4,7,gnss_jam:0,False,,,,False
simulated,gnss_jam,4-of-7,4,7,gnss_jam:1,False,,,,False
simulated,gnss_jam,4-of-7,4,7,gnss_jam:10,False,,,,False
simulated,gnss_jam,4-of-7,4,7,gnss_jam:11,False,,,,False
simulated,gnss_jam,4-of-7,4,7,gnss_jam:2,False,,,,False
simulated,gnss_jam,4-of-7,4,7,gnss_jam:3,False,,,,False
simulated,gnss_jam,4-of-7,4,7,gnss_jam:4,False,,,,False
simulated,gnss_jam,4-of-7,4,7,gnss_jam:5,False,,,,False
simulated,gnss_jam,4-of-7,4,7,gnss_jam:6,False,,,,False
simulated,gnss_jam,4-of-7,4,7,gnss_jam:7,False,,,,False
simulated,gnss_jam,4-of-7,4,7,gnss_jam:8,False,,,,False
simulated,gnss_jam,4-of-7,4,7,gnss_jam:9,False,,,,False
simulated,gnss_spoof,4-of-7,4,7,gnss_spoof:0,False,,,,False
simulated,gnss_spoof,4-of-7,4,7,gnss_spoof:1,False,,,,False
simulated,gnss_spoof,4-of-7,4,7,gnss_spoof:10,False,,,,False
simulated,gnss_spoof,4-of-7,4,7,gnss_spoof:11,False,,,,False
simulated,gnss_spoof,4-of-7,4,7,gnss_spoof:2,False,,,,False
simulated,gnss_spoof,4-of-7,4,7,gnss_spoof:3,False,,,,False
simulated,gnss_spoof,4-of-7,4,7,gnss_spoof:4,False,,,,False
simulated,gnss_spoof,4-of-7,4,7,gnss_spoof:5,False,,,,False
simulated,gnss_spoof,4-of-7,4,7,gnss_spoof:6,False,,,,False
simulated,gnss_spoof,4-of-7,4,7,gnss_spoof:7,False,,,,False
simulated,gnss_spoof,4-of-7,4,7,gnss_spoof:8,False,,,,False
simulated,gnss_spoof,4-of-7,4,7,gnss_spoof:9,False,,,,False
simulated,replay,4-of-7,4,7,ptp_replay:0,True,0.20000000000000018,0.8000000000000003,0.6000000000000001,True
simulated,replay,4-of-7,4,7,ptp_replay:1,False,0.0,,,False
simulated,replay,4-of-7,4,7,ptp_replay:10,True,0.20000000000000018,0.8000000000000003,0.6000000000000001,True
simulated,replay,4-of-7,4,7,ptp_replay:11,True,0.0,0.8,0.8,True
simulated,replay,4-of-7,4,7,ptp_replay:2,True,0.3999999999999999,1.2000000000000002,0.8000000000000003,True
simulated,replay,4-of-7,4,7,ptp_replay:3,True,0.0,2.0000000000000004,2.0000000000000004,False
simulated,replay,4-of-7,4,7,ptp_replay:4,True,0.5999999999999996,1.7999999999999998,1.2000000000000002,True
simulated,replay,4-of-7,4,7,ptp_replay:5,True,0.19999999999999973,2.4,2.2,False
simulated,replay,4-of-7,4,7,ptp_replay:6,True,0.20000000000000018,0.8000000000000003,0.6000000000000001,True
simulated,replay,4-of-7,4,7,ptp_replay:7,True,0.0,1.1999999999999997,1.1999999999999997,True
simulated,replay,4-of-7,4,7,ptp_replay:8,False,0.6000000000000001,,,False
simulated,replay,4-of-7,4,7,ptp_replay:9,True,0.19999999999999996,1.0,0.8,True
simulated,spoof,4-of-7,4,7,ptp_spoof:0,True,0.0,0.6000000000000001,0.6000000000000001,True
simulated,spoof,4-of-7,4,7,ptp_spoof:1,True,0.0,0.6000000000000001,0.6000000000000001,True
simulated,spoof,4-of-7,4,7,ptp_spoof:10,True,0.0,0.5999999999999996,0.5999999999999996,True
simulated,spoof,4-of-7,4,7,ptp_spoof:11,True,0.0,0.6000000000000001,0.6000000000000001,True
simulated,spoof,4-of-7,4,7,ptp_spoof:2,True,0.0,0.5999999999999999,0.5999999999999999,True
simulated,spoof,4-of-7,4,7,ptp_spoof:3,True,0.0,0.6000000000000001,0.6000000000000001,True
simulated,spoof,4-of-7,4,7,ptp_spoof:4,True,0.0,0.6000000000000001,0.6000000000000001,True
simulated,spoof,4-of-7,4,7,ptp_spoof:5,True,0.19999999999999996,0.7999999999999998,0.5999999999999999,True
simulated,spoof,4-of-7,4,7,ptp_spoof:6,True,0.0,0.6000000000000001,0.6000000000000001,True
simulated,spoof,4-of-7,4,7,ptp_spoof:7,True,0.0,0.5999999999999996,0.5999999999999996,True
simulated,spoof,4-of-7,4,7,ptp_spoof:8,True,0.19999999999999996,0.7999999999999998,0.5999999999999999,True
simulated,spoof,4-of-7,4,7,ptp_spoof:9,True,0.19999999999999996,0.7999999999999998,0.5999999999999999,True
timesafe_real,announce,4-of-7,4,7,announce_session_1,True,0.0,0.6,0.6,True
timesafe_real,announce,4-of-7,4,7,announce_session_2,True,0.0,0.6000000000000001,0.6000000000000001,True
timesafe_real,announce,4-of-7,4,7,announce_session_3,True,0.0,0.5999999999999996,0.5999999999999996,True
timesafe_real,sync_follow_up,4-of-7,4,7,sync_followup_session,True,0.0,0.5999999999999996,0.5999999999999996,True
timesafe_real,sync_single_step,4-of-7,4,7,sync_singlestep_session,True,0.0,0.6000000000000014,0.6000000000000014,True
