domain,attack_family,setting,n,m,benign_windows,benign_false_alarm_rate,alarms_per_hour,false_alarm_episodes,episode_alarms_per_hour,attack_windows,combined_protective_rate,attack_episodes,episode_detection_rate,mean_time_to_decision_s,max_time_to_decision_s,mean_added_detection_latency_s,within_2s_episode_rate
timesafe_real,sync_single_step,2-of-3,2,3,156,0.019230769230769232,346.1538461538462,1,115.38461538461537,298,0.9966442953020134,1,1.0,0.20000000000000107,0.20000000000000107,0.20000000000000107,1.0
simulated,dos,3-of-5,3,5,298,0.0,0.0,0,0.0,179,0.8156424581005587,12,1.0,0.4166666666666668,0.5999999999999996,0.4166666666666668,1.0
simulated,gnss_jam,3-of-5,3,5,298,0.0,0.0,0,0.0,178,0.848314606741573,12,1.0,0.45,0.8,0.4000000000000001,1.0
simulated,gnss_spoof,3-of-5,3,5,298,0.0,0.0,0,0.0,179,0.0,12,0.0,,,,0.0
simulated,replay,3-of-5,3,5,298,0.0,0.0,0,0.0,179,0.7653631284916201,12,1.0,0.6666666666666666,1.8000000000000003,0.5500000000000002,1.0
simulated,spoof,3-of-5,3,5,298,0.0,0.0,0,0.0,179,0.8659217877094972,12,1.0,0.4000000000000001,0.40000000000000036,0.4000000000000001,1.0
timesafe_real,announce,3-of-5,3,5,134,0.022388059701492536,402.98507462686564,1,134.32835820895522,6959,0.9991378071562006,3,1.0,0.40000000000000013,0.40000000000000036,0.40000000000000013,1.0
timesafe_real,sync_follow_up,3-of-5,3,5,89,0.0,0.0,0,0.0,298,0.9932885906040269,1,1.0,0.40000000000000036,0.40000000000000036,0.40000000000000036,1.0
timesafe_real,sync_single_step,3-of-5,3,5,156,0.019230769230769232,346.1538461538462,1,115.38461538461537,298,0.9932885906040269,1,1.0,0.40000000000000036,0.40000000000000036,0.40000000000000036,1.0
simulated,dos,4-of-7,4,7,298,0.0,0.0,0,0.0,179,0.7486033519553073,12,1.0,0.6333333333333333,0.8000000000000003,0.6333333333333333,1.0
simulated,gnss_jam,4-of-7,4,7,298,0.0,0.0,0,0.0,178,0.7808988764044944,12,1.0,0.6499999999999999,0.9999999999999998,0.5999999999999998,1.0
simulated,gnss_spoof,4-of-7,4,7,298,0.0,0.0,0,0.0,179,0.0,12,0.0,,,,0.0
simulated,replay,4-of-7,4,7,298,0.0,0.0,0,0.0,179,0.6871508379888268,12,1.0,0.9333333333333335,1.6,0.8166666666666668,1.0
simulated,spoof,4-of-7,4,7,298,0.0,0.0,0,0.0,179,0.7988826815642458,12,1.0,0.6,0.6000000000000001,0.6,1.0
timesafe_real,announce,4-of-7,4,7,134,0.0,0.0,0,0.0,6959,0.998706710734301,3,1.0,0.6,0.6000000000000001,0.6,1.0
timesafe_real,sync_follow_up,4-of-7,4,7,89,0.0,0.0,0,0.0,298,0.9899328859060402,1,1.0,0.5999999999999996,0.5999999999999996,0.5999999999999996,1.0
timesafe_real,sync_single_step,4-of-7,4,7,156,0.0,0.0,0,0.0,298,0.9899328859060402,1,1.0,0.6000000000000014,0.6000000000000014,0.6000000000000014,1.0
