wall_time,scenario,window_start_s,offset_abs_max_ns,pdv_std_ns,label,action,reason,decision_latency_s,end_to_end_latency_s,within_budget,protective_1of1,protective_2of3
2026-08-07T04:31:32.134279+00:00,holdover_fail_closed,9.439206508000007,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,6.366700006310566e-05,7.18149999556772e-05,True,False,False
2026-08-07T04:31:32.250833+00:00,holdover_fail_closed,9.639206508000006,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,9.152199993422983e-05,0.00010061700004371232,True,False,False
2026-08-07T04:31:32.502309+00:00,holdover_fail_closed,9.839206508000006,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.731000005151145e-05,8.612199997060088e-05,True,False,False
2026-08-07T04:31:32.732927+00:00,holdover_fail_closed,10.039206508000005,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,8.98170000027676e-05,9.881699998004478e-05,True,False,False
2026-08-07T04:31:32.879346+00:00,holdover_fail_closed,10.239206508000004,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,9.445800003504701e-05,0.00010516500003632245,True,False,False
2026-08-07T04:31:33.113223+00:00,holdover_fail_closed,10.439206508000003,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.03940000903458e-05,7.948900008614146e-05,True,False,False
2026-08-07T04:31:33.378028+00:00,holdover_fail_closed,10.639206508000003,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.550999998784391e-05,8.432100003119558e-05,True,False,False
2026-08-07T04:31:33.516906+00:00,holdover_fail_closed,10.839206508000002,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,8.327900002313982e-05,9.246899992376711e-05,True,False,False
2026-08-07T04:31:33.758664+00:00,holdover_fail_closed,11.039206508000001,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,9.739600000102655e-05,0.00011047099997085752,True,False,False
2026-08-07T04:31:33.873493+00:00,holdover_fail_closed,11.239206508,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.200400000328955e-05,8.005799998045404e-05,True,False,False
2026-08-07T04:31:34.101553+00:00,holdover_fail_closed,11.439206508,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,9.928999998010113e-05,0.00011018499992587749,True,False,False
2026-08-07T04:31:34.347118+00:00,holdover_fail_closed,11.639206508,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,6.205600004705047e-05,6.93519999686032e-05,True,False,False
2026-08-07T04:31:34.483248+00:00,holdover_fail_closed,11.839206507999998,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,8.214199999656557e-05,9.123699999236123e-05,True,False,False
2026-08-07T04:31:34.732779+00:00,holdover_fail_closed,12.039206507999998,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,6.300399991232553e-05,7.143599998471473e-05,True,False,False
2026-08-07T04:31:34.853163+00:00,holdover_fail_closed,12.239206507999997,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.048899999517744e-05,7.89209999538798e-05,True,False,False
2026-08-07T04:31:35.103524+00:00,holdover_fail_closed,12.439206507999996,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,8.119500000702828e-05,9.000499994726852e-05,True,False,False
2026-08-07T04:31:35.337290+00:00,holdover_fail_closed,12.639206507999996,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,8.545799994408299e-05,9.445799992136017e-05,True,False,False
2026-08-07T04:31:35.473610+00:00,holdover_fail_closed,12.839206507999995,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,6.973099993956566e-05,7.797399996434251e-05,True,False,False
2026-08-07T04:31:35.703717+00:00,holdover_fail_closed,13.039206507999994,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.513100001688144e-05,8.38479999174524e-05,True,False,False
2026-08-07T04:31:35.959118+00:00,holdover_fail_closed,13.239206507999993,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.143599998471473e-05,7.977299992489861e-05,True,False,False
2026-08-07T04:31:36.077358+00:00,holdover_fail_closed,13.439206507999993,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.342600008541922e-05,8.20479999674717e-05,True,False,False
2026-08-07T04:31:36.318231+00:00,holdover_fail_closed,13.639206507999992,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,8.498400006828888e-05,9.512199994787807e-05,True,False,False
2026-08-07T04:31:36.544501+00:00,holdover_fail_closed,13.839206507999991,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.607800000641873e-05,8.555199997317686e-05,True,False,False
2026-08-07T04:31:36.661982+00:00,holdover_fail_closed,14.03920650799999,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.503599999836297e-05,8.384700004171464e-05,True,False,False
2026-08-07T04:31:36.916492+00:00,holdover_fail_closed,14.23920650799999,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,8.42270000021017e-05,9.341600002699124e-05,True,False,False
2026-08-07T04:31:37.176787+00:00,holdover_fail_closed,14.43920650799999,0.0,0.0,healthy,safe_default,no anomaly above configured threshold,7.437300007495651e-05,8.365800010778912e-05,True,False,False
